,data_set,serialized_model,q_train_size,ignore_layers,bits,alphabet_scalar,analog_test_acc,sd_test_acc,msq_test_acc
2020-07-06_14:30:13.524215,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],1.584962500721156,2,0.8921999931335449,0.7487000226974487,0.1347000002861023
2020-07-06_15:26:31.533839,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],1.584962500721156,3,0.8921999931335449,0.7350000143051147,0.14640000462532043
2020-07-06_16:20:08.949843,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],1.584962500721156,4,0.8921999931335449,0.6919000148773193,0.09910000115633011
2020-07-06_17:12:14.285804,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],2.0,2,0.8921999931335449,0.7522000074386597,0.22089999914169312
2020-07-06_18:04:48.668069,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],2.0,3,0.8921999931335449,0.803600013256073,0.2800000011920929
2020-07-06_18:56:29.851430,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],2.0,4,0.8921999931335449,0.7488999962806702,0.17419999837875366
2020-07-06_19:46:18.691542,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],3.0,2,0.8921999931335449,0.7942000031471252,0.4172999858856201
2020-07-06_20:34:51.335005,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],3.0,3,0.8921999931335449,0.8669999837875366,0.37540000677108765
2020-07-06_21:22:50.654287,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],3.0,4,0.8921999931335449,0.8709999918937683,0.5013999938964844
2020-07-06_22:10:14.544134,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],4.0,2,0.8921999931335449,0.8123999834060669,0.45249998569488525
2020-07-06_22:57:16.369887,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],4.0,3,0.8921999931335449,0.8777999877929688,0.7775999903678894
2020-07-06_23:44:19.999058,cifar10,experiment_2020-06-30_09:48:23.517400/Sequential2020-07-01_00:56:47.573179,5000,[],4.0,4,0.8921999931335449,0.8878999948501587,0.8442999720573425
