,data_set,np_seed,tf_seed,serialized_model,trial_idx,rectifier,kernel_init,kernel_size,strides,train_batch_size,epochs,q_train_size,analog_test_acc,sd_test_acc,msq_test_acc
2020-06-05 11:05:00.215937,mnist,0,0,Sequential2020-06-05 11:05:00.215937,0,relu,GlorotUniform,3,2,128,20,10000,0.9860000014305115,0.7578999996185303,0.592199981212616
2020-06-05 11:11:08.701188,mnist,0,0,Sequential2020-06-05 11:11:08.701188,0,relu,GlorotUniform,4,2,128,20,10000,0.9876999855041504,0.8345999717712402,0.8478000164031982
2020-06-05 11:17:34.588708,mnist,0,0,Sequential2020-06-05 11:17:34.588708,0,relu,GlorotUniform,5,2,128,20,10000,0.989799976348877,0.9093999862670898,0.7387999892234802
2020-06-05 11:29:29.400586,mnist,0,0,Sequential2020-06-05 11:29:29.400586,0,relu,GlorotUniform,6,2,128,20,10000,0.9901999831199646,0.900600016117096,0.8402000069618225
2020-06-05 11:36:08.265417,mnist,0,0,Sequential2020-06-05 11:36:08.265417,0,relu,GlorotUniform,7,2,128,20,10000,0.9883999824523926,0.9110999703407288,0.6761000156402588
2020-06-05 11:40:34.804404,mnist,0,0,Sequential2020-06-05 11:40:34.804404,1,relu,GlorotUniform,3,2,128,20,10000,0.9869999885559082,0.7258999943733215,0.878600001335144
2020-06-05 11:46:43.331063,mnist,0,0,Sequential2020-06-05 11:46:43.331063,1,relu,GlorotUniform,4,2,128,20,10000,0.9876999855041504,0.8395000100135803,0.8009999990463257
2020-06-05 11:52:31.609293,mnist,0,0,Sequential2020-06-05 11:52:31.609293,1,relu,GlorotUniform,5,2,128,20,10000,0.9886000156402588,0.8694000244140625,0.870199978351593
2020-06-05 12:02:43.477519,mnist,0,0,Sequential2020-06-05 12:02:43.477519,1,relu,GlorotUniform,6,2,128,20,10000,0.9890000224113464,0.9178000092506409,0.794700026512146
2020-06-05 12:09:29.729824,mnist,0,0,Sequential2020-06-05 12:09:29.729824,1,relu,GlorotUniform,7,2,128,20,10000,0.9901000261306763,0.9168999791145325,0.6251999735832214
2020-06-05 12:13:53.395095,mnist,0,0,Sequential2020-06-05 12:13:53.395095,2,relu,GlorotUniform,3,2,128,20,10000,0.9847999811172485,0.7674999833106995,0.5584999918937683
2020-06-05 12:19:25.468384,mnist,0,0,Sequential2020-06-05 12:19:25.468384,2,relu,GlorotUniform,4,2,128,20,10000,0.9879000186920166,0.8895999789237976,0.8896999955177307
2020-06-05 12:24:50.615860,mnist,0,0,Sequential2020-06-05 12:24:50.615860,2,relu,GlorotUniform,5,2,128,20,10000,0.9890999794006348,0.8883000016212463,0.8263999819755554
2020-06-05 12:35:23.163896,mnist,0,0,Sequential2020-06-05 12:35:23.163896,2,relu,GlorotUniform,6,2,128,20,10000,0.9904999732971191,0.9207000136375427,0.4973999857902527
2020-06-05 12:41:51.838751,mnist,0,0,Sequential2020-06-05 12:41:51.838751,2,relu,GlorotUniform,7,2,128,20,10000,0.9911999702453613,0.9049000144004822,0.7282000184059143
2020-06-05 12:46:00.924184,mnist,0,0,Sequential2020-06-05 12:46:00.924184,3,relu,GlorotUniform,3,2,128,20,10000,0.9883000254631042,0.713100016117096,0.7684000134468079
2020-06-05 12:51:15.147808,mnist,0,0,Sequential2020-06-05 12:51:15.147808,3,relu,GlorotUniform,4,2,128,20,10000,0.9879000186920166,0.892799973487854,0.8432999849319458
2020-06-05 12:56:51.785455,mnist,0,0,Sequential2020-06-05 12:56:51.785455,3,relu,GlorotUniform,5,2,128,20,10000,0.9879000186920166,0.9103999733924866,0.8712999820709229
2020-06-05 13:08:59.219820,mnist,0,0,Sequential2020-06-05 13:08:59.219820,3,relu,GlorotUniform,6,2,128,20,10000,0.9898999929428101,0.9406999945640564,0.9072999954223633
2020-06-05 13:15:41.114174,mnist,0,0,Sequential2020-06-05 13:15:41.114174,3,relu,GlorotUniform,7,2,128,20,10000,0.9911999702453613,0.9110999703407288,0.6468999981880188
2020-06-05 13:19:59.171647,mnist,0,0,Sequential2020-06-05 13:19:59.171647,4,relu,GlorotUniform,3,2,128,20,10000,0.9861000180244446,0.6902999877929688,0.7099999785423279
2020-06-05 13:25:36.588560,mnist,0,0,Sequential2020-06-05 13:25:36.588560,4,relu,GlorotUniform,4,2,128,20,10000,0.9876000285148621,0.8838000297546387,0.8384000062942505
2020-06-05 13:31:08.970917,mnist,0,0,Sequential2020-06-05 13:31:08.970917,4,relu,GlorotUniform,5,2,128,20,10000,0.9887999892234802,0.8474000096321106,0.6822999715805054
2020-06-05 13:44:33.003327,mnist,0,0,Sequential2020-06-05 13:44:33.003327,4,relu,GlorotUniform,6,2,128,20,10000,0.9901000261306763,0.9413999915122986,0.6639000177383423
2020-06-05 13:51:09.316324,mnist,0,0,Sequential2020-06-05 13:51:09.316324,4,relu,GlorotUniform,7,2,128,20,10000,0.9908999800682068,0.9266999959945679,0.4422000050544739
