,data_set,analog_model,serialized_quantized_model,q_train_size,bits,alphabet_scalar,analog_test_acc,sd_test_acc,msq_test_acc
2020-07-15_122858255094,mnist,MNIST_Sequential2020-07-14_112220282408,quantized_mnist_scaler1_2020-07-15_122858255094,25000,1.584962500721156,1,0.9824000000953674,0.5156000256538391,0.7271999716758728
2020-07-15_124031397556,mnist,MNIST_Sequential2020-07-14_112220282408,quantized_mnist_scaler2_2020-07-15_124031397556,25000,1.584962500721156,2,0.9824000000953674,0.954800009727478,0.9330000281333923
2020-07-15_125211560640,mnist,MNIST_Sequential2020-07-14_112220282408,quantized_mnist_scaler3_2020-07-15_125211560640,25000,1.584962500721156,3,0.9824000000953674,0.9739000201225281,0.9068999886512756
2020-07-15_130346855963,mnist,MNIST_Sequential2020-07-14_112220282408,quantized_mnist_scaler4_2020-07-15_130346855963,25000,1.584962500721156,4,0.9824000000953674,0.9733999967575073,0.7285000085830688
2020-07-15_131510594056,mnist,MNIST_Sequential2020-07-14_112220282408,quantized_mnist_scaler5_2020-07-15_131510594056,25000,1.584962500721156,5,0.9824000000953674,0.9692999720573425,0.6000000238418579
2020-07-15_132636518365,mnist,MNIST_Sequential2020-07-14_112220282408,quantized_mnist_scaler6_2020-07-15_132636518365,25000,1.584962500721156,6,0.9824000000953674,0.9688000082969666,0.22349999845027924
2020-07-15_133757673802,mnist,MNIST_Sequential2020-07-14_112220282408,quantized_mnist_scaler7_2020-07-15_133757673802,25000,1.584962500721156,7,0.9824000000953674,0.9581999778747559,0.1347000002861023
2020-07-15_134922214921,mnist,MNIST_Sequential2020-07-14_112220282408,quantized_mnist_scaler8_2020-07-15_134922214921,25000,1.584962500721156,8,0.9824000000953674,0.9462000131607056,0.11349999904632568
2020-07-15_140044119922,mnist,MNIST_Sequential2020-07-14_112220282408,quantized_mnist_scaler9_2020-07-15_140044119922,25000,1.584962500721156,9,0.9824000000953674,0.9301999807357788,0.11349999904632568
2020-07-15_141149583010,mnist,MNIST_Sequential2020-07-14_112220282408,quantized_mnist_scaler10_2020-07-15_141149583010,25000,1.584962500721156,10,0.9824000000953674,0.9230999946594238,0.11349999904632568
